FilePath,Project,DestructiveWrapping,NestedTry,ThorwsKitchenSink,ThrowWithinFinally
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,1,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
/Users/kosur/OneDrive/Desktop/dataset/hibernate-orm,hibernate-5.0,0,0,0,0
