FilePath,Project,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\main\java\org\hibernate\c3p0\internal\package-info.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\main\java\org\hibernate\c3p0\internal\StrategyRegistrationProviderImpl.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3P0ConnectionProviderTest.java,hibernate-5.0,1,0,0,0,1,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3P0DefaultIsolationLevelTest.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3P0DifferentIsolationLevelTest.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3P0ProxyConnectionProvider.java,hibernate-5.0,1,0,0,0,1,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\C3p0TransactionIsolationConfigTest.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\IrrelevantEntity.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\JdbcCompatibilityTest.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\OracleSQLCallableStatementProxyTest.java,hibernate-5.0,1,0,0,0,1,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-c3p0\src\test\java\org\hibernate\test\c3p0\StatementCacheTest.java,hibernate-5.0,1,0,0,1,1,100.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\Cache71Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CacheDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CacheSqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CockroachLegacyDialect.java,hibernate-5.0,1,0,0,0,1,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CockroachLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CommunityDatabase.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CommunityDialectResolver.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CommunityDialectSelector.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CUBRIDDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\CUBRIDSqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB2390Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB2390V8Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB297Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB2iLegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB2iLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB2LegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB2LegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB2zLegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DB2zLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DerbyLegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DerbyLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DerbyTenFiveDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DerbyTenSevenDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\DerbyTenSixDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\FirebirdDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\FirebirdSqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\H2LegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\H2LegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\HSQLLegacyDialect.java,hibernate-5.0,1,0,0,0,1,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\HSQLLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\CacheIdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\CUBRIDIdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\FirebirdIdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\InformixIdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\Ingres10IdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\Ingres9IdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\MimerSQLIdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\SQLiteIdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\SybaseAnywhereIdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\identity\Teradata14IdentityColumnSupport.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\Informix10Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\InformixDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\InformixSqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\InformixSqmToSqlAstConverter.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\Ingres10Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\Ingres9Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\IngresDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\IngresSqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\IngresSqmToSqlAstConverter.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MariaDB102Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MariaDB10Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MariaDB53Dialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MariaDBLegacyDialect.java,hibernate-5.0,0,0,0,0,0,0.0
C:\Users\kosur\OneDrive\Desktop\dataset\hibernate-orm\hibernate-community-dialects\src\main\java\org\hibernate\community\dialect\MariaDBLegacySqlAstTranslator.java,hibernate-5.0,0,0,0,0,0,0.0
